mining_company,Environmental,Social,Governance,total
Konkola Copper Mines,79,153,149,381
First Quantum Minerals,65,146,168,379
Vedanta Resources,40,119,180,339
Vedanta,17,62,98,177
Anglo American,42,59,65,166
Glencore,23,66,67,156
Mopani Copper Mines,10,81,62,153
Sino-Metals Leach Zambia,46,51,49,146
Jubilee Metals Group,60,39,32,131
Gemfields,6,45,56,107
ZCCM-IH,4,45,50,99
Kagem Mines,0,50,45,95
Kagem Mining,0,42,37,79
KoBold Metals,13,25,18,56
Barrick Gold,5,21,22,48
GoviEx Uranium Inc.,7,18,19,44
Barrick,6,19,18,43
KCM,7,16,17,40
Anglo American South Africa,11,15,13,39
First Quantum Minerals Ltd.,6,14,19,39
Barrick Gold Corporation,3,20,15,38
First Quantum,8,12,13,33
Ivanhoe Mines,10,12,11,33
Konkola Copper Mines Plc,7,12,14,33
Mwembeshi Resources Limited,10,9,12,31
GoviEx Uranium,6,7,17,30
Jubilee Metals,15,6,6,27
Sino Metals,9,9,7,25
Mwembeshi Resources,10,6,9,25
Sino-Metals Leach,8,8,8,24
Kobaloni Energy,6,9,8,23
Sino Metals Leach Zambia,7,8,7,22
BeMetals Corp.,0,10,12,22
Sino Metals Leach Zambia Limited,6,6,6,18
Mwembeshi Resources Ltd,7,3,7,17
Limeco Resources Limited,0,10,7,17
Vedanta Resources Ltd.,1,7,8,16
Vedanta Resources Plc,3,6,7,16
Midnight Sun Mining Corp,1,6,9,16
Firering Strategic Minerals,4,8,4,16
GoviEx Uranium Inc,4,2,10,16
Zambia Broken Hill Development Company,5,5,5,15
Midnight Sun Mining Corp.,0,6,9,15
ZCCM Investments Holdings Plc,1,6,7,14
Konkola Copper Mine,1,7,6,14
Vedanta Resources Holdings Limited,4,6,4,14
Konkola Copper Mines PLC,2,6,6,14
Galileo Resources,4,3,6,13
Kagem,1,6,6,13
Sino-Metals,4,5,4,13
Maamba Collieries Limited,4,7,2,13
Jubilee Metals Group PLC,6,1,5,12
Sino Metals Leach Zambia; NFC Africa Mining,4,4,4,12
First Quantum Minerals Ltd,1,3,8,12
Firering Strategic Minerals plc,3,7,2,12
CNMC Luanshya Copper Mines,2,5,5,12
Jubilee Metals Group plc,7,2,3,12
Zambezi Resources,4,3,5,12
Zambezi Resources Limited,4,3,5,12
Sino Metals Leach Zambia Ltd.,4,4,4,12
Enviro Processing Limited,4,4,4,12
Chambishi Copper Smelter,2,6,3,11
Konkola Copper Mines; Mopani Copper Mines,1,7,3,11
Vedanta Resources Ltd,0,4,7,11
Anglo American South Africa Ltd,3,4,4,11
Sino-Metals Leach Zambia Ltd.,4,4,3,11
ZCCM,0,6,5,11
China Molybdenum Co.,2,4,4,10
Maamba Collieries,3,5,2,10
Tullow Oil Zambia BV,0,8,2,10
Vedanta Resources Limited,2,3,5,10
ZCCM Investments Holdings,0,4,6,10
Moxico Resources,0,8,2,10
International Resources Holding,1,6,3,10
Tertiary Minerals,2,2,5,9
Mopani,1,4,4,9
Vedanta Resources PLC,3,3,3,9
Vedanta Mineral Resources,1,4,4,9
Anglo-American South Africa,3,3,3,9
Shuka Minerals,3,3,3,9
Terra Metals Inc.,3,3,3,9
Xtract Resources Plc,4,2,3,9
Arc Minerals,0,3,6,9
Leopard Exploration & Mining,3,2,3,8
Glencore; Vedanta,0,3,5,8
Kagem Mining Limited,1,3,4,8
Gemfields Group,0,4,4,8
Kalumbila Minerals Limited,1,5,2,8
Barrick Gold Corp.,1,3,4,8
China Copper Mine,0,5,3,8
Zambia Consolidated Copper Mines Investment Holdings,1,3,4,8
ZCCM Investment Holdings,0,3,5,8
FQM,0,3,4,7
Southern Africa Ferro Alloys Limited,2,3,2,7
Nkana Alloy,1,3,3,7
Prospect Resources,2,2,3,7
Nonferrous China Africa,0,5,2,7
Lunda Resources,2,2,3,7
Kansanshi Mining Plc,0,3,4,7
China Nonferrous Mining Corporation,1,4,2,7
BMR Group,3,2,2,7
Metorex,0,4,3,7
Vendeta,1,3,3,7
Barrick Gold Corp,0,3,4,7
International Resource Holdings,1,3,3,7
Mopani Copper Mines Plc,0,4,3,7
Sensele Enterprises,2,2,2,6
Zambia Consolidated Copper Mines,1,2,3,6
African Rainbow Minerals,2,3,1,6
International Resources Holdings,1,2,3,6
Sensele Mine,2,2,2,6
Grand Resources Ltd,2,2,2,6
Chillerton,4,2,0,6
Berkeley Mineral Resources,2,2,2,6
British South African Company,2,2,2,6
Dangote Group,1,4,1,6
Trafigura,2,3,1,6
"First Quantum, Glencore, Vedanta Resources",0,3,3,6
Argonaut Resources,1,1,4,6
Mopani Copper Mine,0,3,3,6
Jerabos,1,2,2,5
Musamu Resources,0,3,2,5
Midnight Sun Mining,1,2,2,5
Gemfields Group Ltd,0,3,2,5
Gemfields PLC,1,3,1,5
Jubilee,4,1,0,5
China Nonferrous Metals Mining Corporation,0,3,2,5
Ivanhoe,2,2,1,5
Vedanta Ltd,1,1,3,5
China Non-Ferrous Metals Corporation,1,2,2,5
EMR Capital,0,1,4,5
Siege Mining,0,3,2,5
Vedanta Resources; First Quantum Minerals,1,2,2,5
Vedanta Zinc International,1,1,3,5
British South Africa Company,1,2,2,5
Kobold metals,0,3,2,5
Konkola Copper Mines plc,2,2,1,5
Konkola Copper Mines; Lubambe Copper Mines,2,2,1,5
Argonaut Resources NL,0,0,5,5
Kansanshi Mining,1,1,3,5
Barrick Mining Corporation,1,2,1,4
Barrick Gold; Jubilee Metals Group; Handa Resources; Arc Minerals; Anglo American,0,2,2,4
Atomic Eagle,1,1,2,4
Atomic Eagle Ltd,2,1,1,4
Avic International,1,2,1,4
First Quantum Minerals Limited,0,2,2,4
Barrick Gold; First Quantum Minerals; CNMC; International Resources Holding,0,2,2,4
Sibanye-Stillwater,0,2,2,4
Lubambe Mine,0,2,2,4
Lafarge Zambia PLC,1,2,1,4
Eurasian Natural Resources Corp.,0,1,3,4
First Quantum Minerals; Barrick Gold,0,2,2,4
Delta Mining Limited,0,2,2,4
Lubambe Copper Mines,0,2,2,4
Kansanshi Mining PLC,1,2,1,4
ZCCM-IH Plc,0,2,2,4
Arc Minerals Ltd,0,1,3,4
Array Metals,1,1,2,4
First Quantum Minerals; Glencore; Barrick Gold; Vedanta Resources,0,2,2,4
Mopani; Konkola Copper Mines,0,3,1,4
Grizzly Mining Company,0,2,2,4
Grizzly Mining,1,2,1,4
ALP24,0,2,2,4
Konkola Copper Mines; Mopani,0,2,2,4
Mopani Mines,0,3,1,4
Mopani Copper Mines plc,0,1,3,4
Anglo American Plc,0,2,2,4
Nkandabbwe Colum Coal Enterprises Mine Limited,0,2,2,4
Zambian Consolidated Copper Mines,0,2,2,4
Anglo American; Rio Tinto,0,2,2,4
Oranto Petroleum,0,2,2,4
Limeco,0,2,2,4
Antler Gold Inc.,0,1,3,4
First Quantum; Glencore; Vedanta Resources,0,2,2,4
Xtract Resources,2,1,1,4
"China Nonferrous Metal Mining (Group) Co., Ltd.",1,3,0,4
China Nonferrous Metal Mining Group,1,2,1,4
Consolidated Gold Company Zambia,0,2,2,4
Makor Resources; Jubilee Metals; First Quantum Metals,0,2,2,4
Chambeshi Metals,0,2,2,4
China Non-Ferrous Metal Mining Group Company,0,2,2,4
Kagem Mining Ltd.,1,2,1,4
Mercuria Energy Group,0,2,2,4
CNMC,1,1,2,4
Tertiary Minerals PLC,2,0,2,4
Kafue Steel,0,4,0,4
Consolidated Nickel Mines,0,1,3,4
Vedanta; Barrick Gold; First Quantum Minerals; International Resources Holding; Glencore,0,2,2,4
Vendata,1,1,1,3
Mineral Commodities,1,1,1,3
JCHX Mining,0,1,2,3
Mopani Copper Mines PLC,0,2,1,3
Non-Ferrous Corporation Africa Mining PLC,0,2,1,3
Anglo American; Zambia Consolidated Copper Mines,1,1,1,3
KCM; Mopani,0,1,2,3
Mopani Copper Mine; Konkola Copper Mine; Non-Ferrous Copper Mine,1,1,1,3
Zambia Gold Company Limited,0,1,2,3
Raah Mining Company,1,1,1,3
GED Africa,1,1,1,3
Pan African Minerals Development Company,1,1,1,3
Ranging Mineral Processing Limited,1,1,1,3
Anglo American South Africa (AASA),1,1,1,3
First Quantum Minerals; Moxico Resources; Kobold Metals; Barrick Gold Corporation; China Nonferrous Mining Corporation; International Resources Holding; Vedanta Resources; Gemfields; Copperbelt Energy Company,1,1,1,3
Zambia Consolidated Copper Mines-Investment Holdings,0,2,1,3
Zambia Consolidated Copper Mines – Investment Holding,1,1,1,3
Anglo American South Africa Limited,1,1,1,3
Kansanshi Mine PLC,0,2,1,3
Kobold Metals,1,2,0,3
Leopard Exploration and Mining Limited,0,0,3,3
Konkola Copper Mining,1,1,1,3
Guoli Energy Zambia Limited,1,1,1,3
Grizzly Mining Limited,0,1,2,3
Chapamo Mining Limited,0,2,1,3
Chapamo Mineral Processing Limited,1,1,1,3
Grand Resources,1,1,1,3
"['Sino Metals Leach Zambia', 'NFC Africa Mining']",1,1,1,3
GoviEx Uranium Inc.; African Energy Resources Ltd.,0,0,3,3
Chapamo Mineral Processing Investments,1,1,1,3
African Rainbow Minerals; Vale,0,2,1,3
Anglo America,0,2,1,3
China Non-Ferrous Metals Mining Group,1,1,1,3
International Resources Holding RSC Ltd.,1,1,1,3
Anglo American Corporation,0,2,1,3
China Non-Ferrous Metal Mining Group Co,1,1,1,3
Nava Bharat Ventures Ltd,1,1,1,3
Nchanga Consolidated Copper Mines,3,0,0,3
"['First Quantum Minerals Ltd.', 'Barrick Gold Corp.', 'Vedanta Resources Ltd.']",1,1,1,3
Anglo American PLC,1,1,1,3
Nitrogen Chemicals of Zambia,0,2,1,3
Geological Survey of India,1,1,1,3
Rio Tinto,0,2,1,3
Nkana Alloys Limited,1,1,1,3
BMR Group PLC,0,0,3,3
Eurasian Resources Group,1,1,1,3
Sino Metal Tailings,1,1,1,3
Shuka Minerals Plc,1,1,1,3
FQM Kansanshi Mining Company,1,1,1,3
FIRST Quantum Minerals,1,1,1,3
Barrick Gold; Vedanta Resources; International Resources Holding; First Quantum Minerals; KoBold Metals; Mitsui,1,1,1,3
Cobalt International,1,1,1,3
Eurasian Resources Group; Vedanta Resources,1,1,1,3
Xtract Resources plc,1,1,1,3
Rongxing Investments,1,1,1,3
Collum Coal Mines,1,1,1,3
Luida,1,1,1,3
Sino-Metals Leach Sambia,1,1,1,3
KAGEM Mining Limited,1,1,1,3
Bezant Resources Plc,1,1,1,3
Barrick Mining Corp.,1,1,1,3
Jubilee Metals; Anglo American,1,1,1,3
Sino metals Leach Zambia limited,1,1,1,3
Sino Metals Leach Zambia Limited; NFC Africa Mining Limited,1,1,1,3
Column Coal,1,1,1,3
Superdeal Zinc,1,1,1,3
Sovereign Metals,1,1,1,3
"China Nonferrous Mining Corporation, Ltd.",1,1,1,3
Shuka Minerals PLC,0,0,3,3
Sino-Metals Leach Zambia Limited,1,1,1,3
BMR,1,1,1,3
CopperTech Metals,1,1,1,3
SANHE Mining Investment Company Limited,1,1,1,3
China Nonferrous Metals Industry Group,1,1,1,3
Cape Lambert Resources,2,0,1,3
China Nonferrous Mining Company,1,1,1,3
Jubilee Metals Group Plc,1,1,1,3
"First Quantum Minerals, Barrick Mining, China Nonferrous Mining",0,1,2,3
Austin Elements,1,1,1,3
KoBold Metals Zambia,1,1,1,3
Sino-Metals Leach Zambia; NFC Africa Mining,1,1,1,3
Sino-Metals; NFC Africa,1,1,1,3
Chapamo group of companies,1,1,1,3
First Quantum Mine,1,1,1,3
Shepherd Bushiri Mining Ltd,1,1,1,3
Lobito Atlantic Railway,1,1,1,3
Copperbelt Energy Corporation,2,1,0,3
Lumwana Mine Company,1,1,1,3
ZCCM IH,0,3,0,3
Mopani; Kansanshi,0,1,1,2
Lafarge; Ndola lime; Dangote cement,1,1,0,2
Maamba Energy Limited,1,1,0,2
"Mopani, Kalumbila, Kansanshi",0,1,1,2
Maamba collieries Limited,0,2,0,2
Mopani; KCM,0,1,1,2
Leopard Exploration and Mining,0,1,1,2
Makor Resources,0,1,1,2
Mopani; ZCCM-IH,0,1,1,2
Metalco Industries Company Limited,0,1,1,2
Mopani Mines PLC,0,1,1,2
Meteorex,0,1,1,2
Limeco Resources,0,1,1,2
Mimosa Resources,0,1,1,2
Mota-Engil,1,1,0,2
Lunga resources,0,1,1,2
Mopani Copper Mine Ltd,0,1,1,2
Luangwa Minerals Limited,0,1,1,2
Luanshya Copper Mines,0,1,1,2
Manara Minerals,0,1,1,2
Mopani Copper Mines Ltd,0,1,1,2
Lev Leviev; Wolle Mining Ltd,0,1,1,2
Lubambe Copper Mine,0,1,1,2
Lumwana Mine,0,1,1,2
Maamba Colleries,1,1,0,2
Mopani Copper Mines; Vedanta Resources,0,1,1,2
Metalex Africa Zambia Limited,1,1,0,2
Mopani Copper Mines; ZCCM Investment Holdings (ZCCM-IH),0,1,1,2
Mopani Mine,0,2,0,2
Mitsubishi Corporation,1,1,0,2
15th Metallurgical Construction Group,1,1,0,2
Moxico Resources Zambia,0,1,1,2
Vedanta; Glencore,0,1,1,2
"ZCCM-IH, Mopani",0,1,1,2
ZCCM-IH Gold Company,1,1,0,2
ZCCM Investments Holdings PLC,0,1,1,2
ZCCM Investments,0,1,1,2
ZCCM Investment,0,1,1,2
ZCCM Gold Company,0,1,1,2
ZCCM Gold,0,1,1,2
VedantaResources,0,1,1,2
Vedanta; ZCCM-IH,0,1,1,2
Vedanta; Sibanye-Stillwater; First Quantum Minerals; KoBold Metals; BHP,0,1,1,2
Vedanta; First Quantum Minerals; KCM; Mopani,0,1,1,2
Vedanta Limited,0,1,1,2
Vedanta; Barrick Gold Corp,0,1,1,2
"Vedanta, Glencore",0,1,1,2
"Vedanta, Barrick",0,1,1,2
Vedanta resources,0,1,1,2
Vedanta plc,0,1,1,2
Vedanta mineral resources,0,1,1,2
Vedanta Resources; ZCCM-IH,0,1,1,2
Vedanta Resources; Glencore; ZCCM Investments Holdings,0,1,1,2
Vedanta Resources; Glencore,0,1,1,2
Vedanta Resources Holding Ltd,0,1,1,2
ZCCM-IH; Karma Limited,0,1,1,2
ZCCM-IH; Karma Mining,0,1,1,2
Zambia Consolidated Copper Mine Investment Holdings,0,1,1,2
Zambia Consolidated Copper Mine Investments Holding,0,0,2,2
"['Trafigura', 'Ivanhoe Mines']",0,1,1,2
"['Sinomine Resources', 'Mimosa Resources', 'KoBold Metals', 'Kobaloni Energy', 'Vision Blue', 'Africa Finance Corporation', 'Terra Metals', 'Musamu Resources', 'Kabundi Resources', 'First Quantum Minerals', 'Mabiza Resources', 'Malaika Exploration', 'First Africa Metals', 'Antler Gold', 'x-RAM Traws', 'Maamba Collieries']",0,1,1,2
"['Sino Metals Leach', 'NFC Africa Mining']",0,1,1,2
"['Mopani', 'FQM', 'KCM']",0,1,1,2
"['Ivanhoe Mines', 'Galileo Resources', 'Tertiary Minerals', 'First Quantum', 'Vedanta Resources', 'Jubilee Metals', 'Xtract Resources']",1,1,0,2
"['Impala Platinum', 'Anglo American Platinum', 'Sibanye-Stillwater']",0,1,1,2
"['Glencore', 'Vedanta', 'First Quantum', 'African Barrick Gold']",0,1,1,2
"['First Quantum', 'Glencore', 'Barrick Gold', 'Vedanta Resources']",0,1,1,2
"['First Quantum', 'ERG', 'Vedanta', 'CNMC']",0,1,1,2
"['First Quantum Minerals', 'Vedanta Resources']",0,1,1,2
"['First Quantum Minerals', 'Glencore', 'Barrick Gold', 'Vedanta Resources']",0,1,1,2
"['First Quantum Minerals', 'EMR Capital', 'Glencore']",0,1,1,2
"['First Quantum Minerals', 'Barrick Gold']",0,1,1,2
"['First Quantum Minerals', 'Barrick Gold Corp', 'Glencore', 'Vedanta Resources']",0,1,1,2
"['First Quantum Minerals Ltd.', 'Barrick Gold Corp.', 'Vedanta Resources Ltd.', 'International Resources Holding']",0,1,1,2
"['Barrick Gold Corporation', 'First Quantum Minerals']",0,1,1,2
Zed Copper,0,1,1,2
Zambia Gold Company,0,1,1,2
Zambia Consolidated Copper Mines Investments Holdings Plc,1,1,0,2
Zambia Consolidated Copper Mines Investment Holding,0,1,1,2
Zambia Consolidated Copper Mines	6Investment Holding,0,1,1,2
Vedanta Resource,0,0,2,2
Vedanta Africa Base Metals,0,1,1,2
Moxico Resources Zambia Limited,0,1,1,2
Nava Bharat Singapore,1,1,0,2
PDV Metals Limited,0,1,1,2
Oval Mining Limited,1,0,1,2
Opulent Wealthy Investments Limited; Zejun Investments Limited,1,0,1,2
Non-Ferrous Metals Mining Corporation,0,1,1,2
Non-Ferrous Cooperation Africa mining limited,0,1,1,2
Non-Ferrous Cooperation Africa,1,1,0,2
Non-Ferrous Company Africa Mining,0,1,1,2
Neelkanth,1,1,0,2
Ndola Lime Limited,0,1,1,2
Ndalumba Minerals Limited,0,1,1,2
Nashfreight and Transport Services CC,0,1,1,2
Vale Mocambique,0,1,1,2
NFCA Mining Plc.; Intrepid Resources; Sino Metals Leach Zambia Limited; Luiri,0,1,1,2
NFCA Mining,1,1,0,2
NFC Africa Mining Plc,0,2,0,2
NFC Africa Mining PLC,0,2,0,2
Mwombezhi Resources,0,0,2,2
Mwembeshi resources,0,1,1,2
Mwashia Resources,0,0,2,2
Mutinta Jewellery,0,1,1,2
Musamu Resources Limited,0,1,1,2
Moxico; Euro Africa; Xtract Resources; Hetro Mining; Lunga Minerals; KPZ International,0,1,1,2
Pensana,0,1,1,2
Powerful Diligent Veracious (PDV) Metals Limited,0,1,1,2
Precious Minerals Marketing Company,0,1,1,2
Raah Mining Company; Gemcanton Investments Holdings,0,1,1,2
Universal Mining and Chemical Industries limited,1,1,0,2
Universal Mining & Chemical Industries Limited,0,1,1,2
Tullow Oil,0,1,1,2
Trafigura; Kamoa-Kakula,1,1,0,2
Tertiary Minerals plc,0,0,2,2
Tata,1,1,0,2
Taifa Group,0,1,1,2
TIGER RESOURCES LTD,0,1,1,2
Spax Mining,0,1,1,2
Sinoma Cement; Chilanga Cement,0,1,1,2
Sino Metals Leach; NFC Africa Mining,0,1,1,2
Sibanye Stillwater,0,0,2,2
Shera Zambia Limited,0,1,1,2
Sasol,0,1,1,2
Sacko Mining Limited,0,1,1,2
Sabi Company,0,1,1,2
Rudra Copper Limited,1,1,0,2
Rio Tinto; First Quantum,1,1,0,2
Rift Petroleum; Tullow Oil PLC,0,1,1,2
